parser,doc_id,id,gold,pred,score,ok,match_type,verdict,overconfident,judge_reason,missing_points,superfluous_points
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,22,"2829470001, quantity 1 (item 46)",2829470001; 1,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,23,"2829422001, quantity 1 (item 30)",2829422001; 1,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,24,Inner: 2829130001; Outer: 2829131001,Inner Tube Welded Assembly: 2829130001; Outer Tube Welded Assembly: 2829131001,1.0,1,numeric≈,correct,0,rule:numeric≈,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,25,3133548001 (item 39),3133548001,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,26,3423390001 (item 42),3423390001,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,27,2 pieces (item 21),2,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,28,12 pieces (item 22),12,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,29,"2828736001, quantity 2 (item 66)",Part number: 2828736001; Quantity: 2,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,30,"2827184001, quantity 2 (item 57)",2827184001; 2,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,31,"2827052001, quantity 2 (item 53)",2827052001; 2,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,32,"2827209001, quantity 1 (item 60)",2827209001; 1,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,33,"3131306001, quantity 2 (item 68)",3131306001; 2,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,34,"3707449001, quantity 1 (item 70)",3707449001; 1,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,35,"2823689001, quantity 1 (item 74)",2823689001; 1,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,36,"5680145001, quantity 1 (item 75)",5680145001; 1,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,37,"Yes—Grease 5970136002, quantity 1 (item 78)",Yes; part number 5970136002,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,38,"3707335001, quantity 1 (201-8)",3707335001; 1,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,39,"3130889001, quantity 1 (201-1)",3130889001; 1,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,40,"3706580001, quantity 2 (201-4)",3706580001; 2,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,41,"5660305001, quantity 4 (201-6)",5660305001; 4,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,42,"5610388001, quantity 2 (201-10)",5610388001; 2,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,43,2827772001 (201-401),2827772001,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,44,4860797001 ×1 (202-2); 4860792004 ×3 (202-6); 4860792003 ×1 (202-9),4860797001: 1; 4860792004: 3; 4860792003: 1,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,45,"4860791003, quantity 1 (202-14)",4860791003; 1,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,46,27 pieces (202-31),5,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,47,4860751002 ×2 (202-4) and 4860751001 ×2 (202-26),4860751002; qty 2; 4860751001; qty 2,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,48,"3707400001, quantity 1 (202-12)",3707400001; 1,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,49,"2827424002, quantity 4 (202-11)",2827424002; 4,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,50,"Three: 4860768001 (202-20), 4860793001 (202-23), 4860793002 (202-28) — each quantity 1","3; part numbers: 4860768001, 4860793001, 4860793002",0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,51,Two: 3700367001 ×1 (202-3) and 3707407001 ×3 (202-25),"4 Cord Anchorage; part numbers: 3700367001 (1), 3707407001 (3)",0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,52,"4891968001, quantity 1 (202-18)",4891968001; 1,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,53,16 pieces (202-24),16,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,54,"2730398001, quantity 2 (203-4)",2730398001; 2,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,55,"3553570001, quantity 2 (203-5)",3553570001; 2,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,56,"3521235001, quantity 4 (203-6)",3521235001; 4,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,57,3707424001 (203-1) and 3707423001 (203-10),3707424001; 3707423001,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,58,Right: 2827528002 (203-402); Left: 2827525002 (203-403),Right Bracket Assembly: 2827528002; Left Bracket Assembly: 2827525002,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,59,2827439002 (203-401),2827439002,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,60,8 pieces (203-3),8,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,61,8 pieces (203-9),8,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,62,"4870949001, quantity 1 (204-2)",4870949001; 1,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,63,"3800215001, quantity 1 (204-7)",3800215001; 1,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,64,"2831381001, quantity 1 (204-8)",2831381001; 1,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,65,3 pieces (204-4),3,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,66,2829590001 (204-402),2829590001,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,67,2829534001 (204-401),2829534001,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,68,"2829161001, quantity 1 (204-5)",2829161001; 1,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,69,"3130877001, quantity 1 (205-9)",3130877001; 1,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,70,10 pieces (205-4),4,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,71,4 pieces (205-10),4,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,72,4891966002 (205-3) and 4891967002 (205-5),4891966002; 4891967002,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,73,"4860770001, quantity 2 (205-1)",4860770001; 2,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,74,"3707284001, quantity 1 (206-3)",3707284001; 1,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,75,"3130932001, quantity 1 (206-7)",3130932001; 1,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,76,"2829824001, quantity 1 (206-1)",2829824001; 1,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,77,4 pieces (206-8),NOT_FOUND,0.0,0,llm-rubric,incorrect,0,judge-parse-error,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,78,"3707399001, quantity 2 (207-9)",3707399001; 2,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,79,"2823670002, quantity 1 (207-2)",2823670002; 1,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,80,8 pieces (207-7),8,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,81,5 pieces (207-15),5,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,82,"2823718002, quantity 1 (207-401)",2823718002; 1,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,83,1 piece (207-13),1,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,84,2 pieces (207-12),2,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,85,"4891973002 and 4891964001 (208-2, 208-3)",4891973002; 4891964001,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,86,"4970354001, 40A (208-12)",4970354001; 40A,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,87,18 pieces (208-5),18,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,88,Left Cover Plate: 3131104001 (208-9); Left Cover: 3130901002 (208-10),3131104001 for Left Cover Plate; 3130901002 for Left Cover,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,89,"4860796001, quantity 1 (208-13)",4860796001; 1,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,90,Yes—2830790001 (208-4),NOT_FOUND,0.0,0,llm-rubric,incorrect,0,judge-parse-error,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,91,"3900385001, quantity 1 (209-4)",3900385001; 1,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,92,"2830770001, quantity 1 (209-5)",2830770001; 1,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,93,"2827628001, quantity 1 (209-1)",2827628001; 1,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,94,Right Cover Plate: 3131105001 (210-2); Right Cover: 3130909002 (210-3),3131105001 for Right Cover Plate; 3130909002 for Right Cover,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,95,18 pieces (210-9),18,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,96,"2829373001, quantity 1 (210-401)",2829373001; 1,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,97,"3322835001, quantity 1 (210-10)",3322835001; 1,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,98,Right: 2827759001 (211-401); Left: 2827760001 (211-402),2827759001 for Right Armrest Assembly; 2827760001 for Left Armrest Assembly,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,99,"3402283001, quantity 2 (211-1)",3402283001; 2,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,100,"2831380001, quantity 1 (212-3)",Part number: 2831380001; Quantity: 1,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
